Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1518652800000,9449.98000000,9449.98000000,9420.50000000,9422.53000000,29.29721000,1518652859999,276446.06314901,783,12.18296400,114981.39374391,0
1518652860000,9422.53000000,9439.66000000,9420.50000000,9424.98000000,37.24651300,1518652919999,351102.95643580,399,13.17046600,124180.38913684,0
1518652920000,9424.98000000,9430.00000000,9420.52000000,9423.08000000,39.87565900,1518652979999,375946.12669201,434,29.85305900,281472.62901809,0
1518652980000,9424.99000000,9427.78000000,9420.36000000,9420.52000000,42.69214100,1518653039999,402218.65812787,307,8.80534100,82966.51838418,0
1518653040000,9420.36000000,9420.52000000,9400.00000000,9400.29000000,42.66948800,1518653099999,401337.38186632,566,8.49312000,79869.93691749,0
1518653100000,9400.29000000,9423.14000000,9400.00000000,9404.06000000,55.70352200,1518653159999,524042.34564223,691,16.03621300,150888.02196033,0
1518653160000,9409.28000000,9424.00000000,9400.03000000,9417.00000000,28.88880900,1518653219999,271843.16193901,443,14.91182800,140389.10299467,0
1518653220000,9418.99000000,9426.87000000,9406.69000000,9412.00000000,27.03008000,1518653279999,254510.34503995,437,10.38762700,97824.72424554,0
1518653280000,9412.00000000,9419.00000000,9405.00000000,9405.00000000,40.10089800,1518653339999,377380.28843658,514,13.60752500,128090.39350328,0
1518653340000,9405.00000000,9416.90000000,9395.00000000,9407.82000000,76.30283200,1518653399999,717316.53790228,592,25.36965700,238522.83685011,0
1518653400000,9407.83000000,9415.00000000,9406.71000000,9410.99000000,17.26425900,1518653459999,162451.00121358,422,6.45875100,60788.98309662,0
1518653460000,9410.98000000,9414.54000000,9408.10000000,9411.73000000,12.04715700,1518653519999,113372.94341837,324,6.65566400,62640.37839331,0
1518653520000,9411.00000000,9425.00000000,9410.00000000,9425.00000000,18.12451600,1518653579999,170645.21156332,338,12.85967200,121070.95743931,0
1518653580000,9420.07000000,9448.68000000,9420.06000000,9439.18000000,18.16775100,1518653639999,171328.35979782,288,11.06427600,104345.32800926,0
1518653640000,9440.41000000,9464.00000000,9440.39000000,9459.00000000,29.68363900,1518653699999,280529.90893184,500,19.62199100,185458.68802034,0
1518653700000,9464.00000000,9464.00000000,9444.70000000,9454.00000000,21.82657800,1518653759999,206370.85328030,463,13.36527700,126372.64527030,0
1518653760000,9454.00000000,9460.00000000,9450.00000000,9459.85000000,7.23460500,1518653819999,68415.68503742,167,5.80215700,54872.37452758,0
1518653820000,9457.01000000,9460.00000000,9440.00000000,9450.00000000,11.46469100,1518653879999,108382.54100697,238,5.63069600,53228.20324496,0
1518653880000,9449.89000000,9452.93000000,9441.38000000,9446.98000000,15.42142000,1518653939999,145709.35898963,314,7.19888900,68023.07021835,0
1518653940000,9446.98000000,9448.75000000,9437.38000000,9437.38000000,10.40063600,1518653999999,98215.73220095,314,3.35006900,31635.35426070,0
1518654000000,9437.38000000,9441.74000000,9429.17000000,9431.31000000,13.91207000,1518654059999,131247.61731147,292,4.88840100,46116.06908927,0
1518654060000,9432.79000000,9433.77000000,9415.00000000,9420.00000000,25.51094200,1518654119999,240394.34478913,429,6.43128100,60623.06458248,0
1518654120000,9418.06000000,9422.55000000,9404.00000000,9412.87000000,22.58181300,1518654179999,212587.09882781,381,9.60092400,90402.88960525,0
1518654180000,9405.76000000,9445.00000000,9404.00000000,9420.00000000,35.31311400,1518654239999,332590.79928998,504,15.30956300,144211.66659754,0
1518654240000,9424.85000000,9424.85000000,9405.79000000,9418.03000000,11.85022000,1518654299999,111535.91040122,232,9.43404700,88795.94519824,0
1518654300000,9418.03000000,9420.00000000,9410.77000000,9412.91000000,17.89553800,1518654359999,168522.11181272,381,7.43747300,70045.44891099,0
1518654360000,9412.98000000,9424.90000000,9412.76000000,9421.15000000,21.61634800,1518654419999,203506.71487102,316,7.26767900,68439.47126171,0
1518654420000,9421.15000000,9425.92000000,9415.00000000,9425.58000000,15.96437100,1518654479999,150442.65013232,305,9.59998900,90476.81728534,0
1518654480000,9421.26000000,9424.22000000,9417.38000000,9420.01000000,12.95236600,1518654539999,122029.14415970,320,9.57172000,90187.35845622,0
1518654540000,9420.02000000,9424.25000000,9417.38000000,9419.94000000,25.80018000,1518654599999,243049.36815444,311,11.06973400,104295.59268862,0
1518654600000,9419.93000000,9424.25000000,9417.38000000,9417.59000000,12.34576100,1518654659999,116295.88816858,242,7.34164900,69161.92210439,0
1518654660000,9417.61000000,9430.00000000,9417.59000000,9426.36000000,17.60339300,1518654719999,165879.68459216,224,15.26778300,143876.25103910,0
1518654720000,9430.00000000,9438.50000000,9426.36000000,9431.08000000,14.65596000,1518654779999,138269.95490270,309,7.49481400,70725.65122207,0
1518654780000,9431.08000000,9440.00000000,9430.98000000,9439.97000000,9.19963500,1518654839999,86797.96681321,300,4.05746600,38292.41281328,0
1518654840000,9436.72000000,9445.00000000,9422.00000000,9438.11000000,33.47578900,1518654899999,315868.88260414,516,8.16534100,77080.13481585,0
1518654900000,9437.69000000,9445.94000000,9405.84000000,9436.00000000,57.13275300,1518654959999,538479.82215193,603,20.47713100,193092.09568852,0
1518654960000,9435.96000000,9436.00000000,9423.28000000,9424.09000000,27.15453200,1518655019999,255936.56136378,343,9.29080300,87589.97189286,0
1518655020000,9427.09000000,9429.20000000,9421.00000000,9428.66000000,13.44121100,1518655079999,126701.81647289,309,8.33478500,78572.34349183,0
1518655080000,9425.97000000,9429.61000000,9422.60000000,9422.60000000,12.93015400,1518655139999,121878.26048729,200,5.76294700,54333.53479725,0
1518655140000,9422.60000000,9423.56000000,9410.19000000,9419.92000000,15.24281600,1518655199999,143538.57035949,371,6.98773900,65810.18537176,0
